C15orf27,PGBD5,A_23_P64051,ATP5G1,RAB33B,A_24_P485271,CREM,DLX2,OR2B3,A_24_P713312,A_32_P5148,BSCL2,STGC3,SCRN1,PRKAA2,RPL27,TEX101,NGEF,RBP5,RHOU,FBXW11,WBSCR17,A_23_P96262,TBC1D24,ZNF700,A_24_P161733,C8orf22,A_24_P118946,KANSL1L,ACOT6,A_32_P12494,RDH12,MEF2C,A_24_P942374,A_24_P136911,TOLLIP,CUST_2664_PI416261804,SMIM19,OR11H4,ANKRD36C,MED12L,CYP3A43,ARL5A,A_32_P219635,A_24_P706236,TNFRSF10C,ZNF484,AADAT,NADK2,A_24_P221724,CLEC6A,ASPG,IKBKAP,RALB,DGCR6,A_24_P738859,GOLPH3,A_23_P21804,SNHG8,NAA20,KIAA0922,A_24_P487877,A_23_P26367,KCNC3,A_24_P340886,KIF18A,SLC12A8,OPTC,GLUL,NDUFB5,ARMCX6,DPYSL5,A_24_P612020,A_24_P213073,MAPRE1,A_24_P934971,A_24_P392622,LARP4,GNMT,MLH1,CNTFR,EEF2K,ATP2A3,ZNF730,TP53I13,A_24_P384379,LOC728327,SUSD6,A_23_P93109,C7orf13,A_24_P127063,A_24_P178643,NINL,PAMR1,A_24_P232763,GGT7,ACOT12,TEAD2,AP4S1,HNRNPCL1,BTBD16,LNPEP,CDY1,A_24_P485105,SPDYE2B,LOC728804,GEMIN2,PSG2,OR7E91P,SKAP2,A_24_P654368,DENND2A,GPS1,A_24_P222054,ITGB8,FAM21C,A_24_P299137,ERG,RBM15,SPATA7,MXRA8,A_24_P592487,ERICH5,A_32_P193792,A_24_P489399,C6orf62,SLC6A7,HYMAI,HSPA1B,ACACA,ZSCAN1,MSANTD4,TGIF2,CYP3A4,CALM3,DSCAML1,A_23_P32821,MGARP,LINC01420,A_23_P210451,IGFBP5,PPA2,A_24_P791814,PRSS50,MMP11,PZP,A_32_P463538,A_24_P936419,A_32_P48054,A_24_P791862,PRKCZ,COX15,PNMT,COPA,C5orf58,SEPT4,ADGRG6,A_24_P75856,NOSIP,A_24_P911051,A_32_P51005,A_24_P945069,A_24_P608931,CUST_2438_PI416261804,A_24_P938281,TM7SF3,FLJ20021,C19orf67,KLHL34,A_24_P938284,L3MBTL1,TRIP13,PIK3CA,MOSPD3,A_32_P114372,TXLNG,A_32_P97968,A_32_P170564,A_24_P878561,ARHGAP28,A_32_P140153,UBXN4,CCDC64B,LINC00165,SNRNP40,NEIL3,A_32_P40327,LMAN1L,WTIP,A_24_P934744,FCHSD2,LOC728836,A_32_P208978,GAGE10,MAPK10,ADCY10P1,TRAF3IP3,LOC100132014,ARHGAP1
3.6637,6.7723,2.1636,9.6256,3.8232,4.8488,5.85611666666667,4.53626666666667,1.2218,4.87936666666667,1.0154,6.313625,3.15735,9.71186666666667,5.9653,9.628,2.92456666666667,10.7244,3.69075,6.473,8.87015,8.83295,1.0376,6.14255,4.5486,3.1989,1.0553,11.2898,5.05555,2.9915,3.1026,4.4049,9.8983,4.352,1.3879,7.52173333333333,10.4464,8.4152,1.15825,8.6722,5.4291,2.8651,8.205,4.62705,1.1594,3.7914,6.0549,6.4233,6.47265,1.4885,1.3525,2.3391,8.1466,8.5646,8.8005,4.0386,7.0524,5.042,11.22125,8.659325,2.42635,1.3085,3.826,8.7651,9.5709,1.2927,2.9492,1.3518,6.9605,8.35895,8.2194,6.7166,7.1479,10.1421,6.30995,1.6812,3.3196,6.1814,3.5352,8.9293,2.8919,3.62135,1.15305,8.2573,4.376,1.203,12.1129,6.8883,2.32545,6.04005,8.1088,7.4472,5.35335,4.97785,7.3266,8.1456,1.0561,1.5785,5.23315,6.93445,4.67655,7.7117,1.20143333333333,5.34085,4.83986666666667,4.59,5.94776666666667,1.0277,4.0418,7.7025,4.8718,6.25165,8.2553,9.9862,5.43576666666667,8.573,3.5401,3.0103,7.3795,7.4601,5.3824,4.432775,4.98455,7.2704,5.87125,6.96955,4.3304,2.2079,7.54585,5.924225,3.38995,7.46345,1.5523,1.2798,10.2666333333333,5.3935,2.1251,4.8093,7.2172,2.9203,6.5386,7.504075,2.4316,3.1084,2.01675,1.38295,5.5483,5.13905,0.9935,2.5133,8.16853333333333,6.81173333333333,6.88265,7.72803333333333,2.9142,9.244,2.42946666666667,2.494,8.31895,1.1051,10.2291,1.3452,2.8258,5.888,5.5489,8.01726666666667,7.1393,1.34785,3.15265,3.0785,5.20216666666667,1.1532,7.5583,5.10008,4.9429,6.0717,1.5023,1.1635,1.4391,3.55866666666667,7.8328,5.89656666666667,4.5858,0.983,5.8928,1.6511,6.4044,3.34515,5.29675,4.5336,6.6117,2.61795,12.3547,1.255,8.5148,1.3401,2.99976666666667,1.221,7.8206
3.93015,6.67136666666667,2.18205,9.499975,4.4354,5.029,5.94608333333333,4.47106666666667,0.9053,5.01226666666667,0.8293,6.005575,3.36515,9.6255,5.88996666666667,9.56725,2.91213333333333,10.4795,2.3761,6.89355,8.7788,8.45335,1.6594,6.4607,4.98375,3.046725,0.8262,11.8225,5.23945,2.0078,3.0165,4.38865,9.70006666666667,4.61,3.096,7.65986666666667,10.3079,8.36685,1.84475,8.802,5.3083,3.092,8.00585,4.79165,0.8575,2.82005,5.84605,6.37645,6.7477,2.1924,1.0249,2.1686,7.78095,8.41505,8.3678,4.3203,6.9452,5.1945,11.1684,8.47545,2.7615,1.1629,4.3686,8.3958,9.6589,1.70705,3.47335,1.1404,7.348,8.1007,8.25065,7.0338,7.2537,10.3955,6.416825,1.0021,5.6448,6.090725,4.02905,8.8175,3.47985,3.9322,1.72375,9.1789,4.58725,2.4925,12.1524,6.88955,3.17885,6.14415,8.3382,7.7314,5.72315,5.16135,7.2718,7.9082,1.7828,1.1081,5.39025,7.87595,5.4425,7.64655,0.985566666666667,5.6399,5.05516666666667,4.9111,5.8983,1.61295,4.0007,7.6952,5.9939,5.98885,8.0239,10.0586,6.0813,8.5608,4.45175,3.84353333333333,7.1946,7.49415,5.703,4.4967,4.7484,6.8771,5.92225,6.94555,4.43705,2.2215,7.6021,5.914425,3.4397,7.46645,1.5333,1.6739,10.1094333333333,4.4162,2.528,4.376,7.39865,2.754,6.73003333333333,7.482375,2.7835,3.3373,2.4911,2.01075,5.5744,5.20325,0.8231,0.9153,8.26723333333333,6.8026,6.78405,7.64603333333333,2.79195,9.3786,2.86856666666667,3.222,8.1613,0.8293,9.9373,1.2178,3.0898,5.5268,5.665,7.8317,6.9155,1.28635,3.5409,3.4053,5.40133333333333,1.2341,7.4125,4.88368,5.1051,6.0067,1.17,0.857,1.0427,3.92406666666667,7.6321,5.74156666666667,4.2253,1.5314,5.62735,0.9998,6.6722,3.22255,5.381,4.9716,6.6006,2.7234,12.3,1.61,8.3094,1.0436,3.55853333333333,0.9166,7.60685
4.32885,6.72693333333333,2.2486,9.677875,4.44775,5.0082,5.65328333333333,4.46553333333333,0.9645,4.949,0.83425,6.18085,3.3752,9.47293333333333,5.84946666666667,9.5271,2.92936666666667,10.5483,2.86965,6.7699,8.7038,8.36505,2.8378,6.04695,4.9599,3.219,0.8293,11.8086,4.9538,0.9056,3.023,4.21325,9.64143333333333,4.0224,2.6859,8.05766666666667,10.3327,8.51265,1.6737,8.5883,5.244,2.6611,8.0601,4.8116,0.9044,1.56385,5.9098,6.15725,6.25265,2.9982,1.09415,1.61425,7.99705,8.5349,8.4081,4.1981,7.0401,4.8167,11.0044,8.8649,2.5975,1.0156,4.5714,8.5657,9.6132,0.9838,2.86215,1.3645,6.70345,8.30825,8.2928,6.81035,7.6002,10.3394,6.2056,1.0299,6.8298,6.09645,3.9768,9.0167,2.88645,3.813,1.4117,9.4332,4.4807,3.5595,12.6099,7.00895,3.10845,6.08455,8.6947,7.9735,5.49305,4.3661,7.1631,8.0163,1.11425,1.14,5.6389,8.04975,5.3309,7.49735,1.0124,5.5338,5.11403333333333,4.8735,5.83396666666667,1.94615,4.78705,7.6238,6.4782,5.94135,8.1299,9.9452,5.42796666666667,8.5449,4.10265,3.74963333333333,6.7856,7.52445,5.15785,4.3703,5.09395,7.1558,6.2206,6.74465,4.84895,2.8971,7.28435,5.817475,3.38125,7.2921,1.9605,2.44605,10.0097333333333,5.16815,2.1835,4.95125,7.44045,1.4874,6.0844,7.705175,3.5766,3.19755,2.313,3.36695,5.7914,5.1055,0.8231,0.9747,8.1585,6.73423333333333,6.3579,7.7244,3.0454,9.152675,2.79623333333333,3.5079,8.11175,0.857,9.9379,1.1224,3.6787,5.7,5.528,7.9295,6.8447,1.01615,3.53185,3.6187,5.2085,1.68645,7.3562,4.96036,5.1301,6.23835,1.2433,0.8989,1.1674,3.06306666666667,7.8247,6.12893333333333,4.89015,1.3568,5.65045,1.0719,6.564,3.36655,5.40485,4.5946,6.2739,2.98595,12.1237,0.8989,8.46533333333333,2.0954,3.097,0.8898,7.4172
4.36225,6.97576666666667,2.31065,9.568875,4.4445,5.6768,5.97631666666667,3.9474,1.065,5.13016666666667,0.84155,6.5314,3.296,9.69083333333333,6.08786666666667,9.5662,3.4148,10.76765,1.88575,6.81915,9.12785,8.70135,2.5768,6.68975,5.00775,3.404025,0.93795,12.1811,4.85045,1.4463,2.4089,4.4291,9.72123333333333,4.3495,1.1456,8.29683333333333,10.4394,8.5413,1.6524,8.98425,5.7762,3.39305,8.2386,4.8695,0.9955,1.94335,5.80225,6.47425,6.7012,2.8541,1.06575,2.30225,8.2401,8.76365,8.4662,4.5568,7.1417,4.7021,11.2604,8.936925,2.26155,1.2562,5.034,8.4332,9.8072,1.138,3.3333,1.63875,6.85035,8.4706,8.3989,7.1969,7.9106,10.7245,6.510425,0.8293,7.4847,6.192225,3.74975,9.22145,3.0114,4.33445,1.32525,9.9864,4.07435,2.6474,12.8157,7.31465,2.9152,6.38425,8.8409,8.2626,5.2139,5.44225,7.368,8.13795,1.9308,1.42555,5.62175,8.7563,5.39405,7.8035,0.9018,5.83205,5.2366,4.6198,5.88823333333333,1.53425,4.9037,7.9887,6.8795,6.05985,8.3085,10.0056,6.00913333333333,8.8614,4.25875,4.06183333333333,7.16495,7.6294,4.99295,5.06465,4.41255,7.1357,6.25015,6.95715,4.5753,3.2354,7.1664,6.1176,3.57785,7.35265,1.4024,1.7922,10.3019666666667,5.37635,2.1911,4.6961,7.70435,1.7782,6.68316666666667,7.71205,3.9039,3.22905,3.05265,3.4418,5.7007,5.16905,1.416,0.8773,8.20576666666667,6.7689,6.49465,7.96636666666667,2.8226,9.385375,2.81326666666667,3.7901,8.1704,1.2305,10.5822,0.8404,3.5334,6.1152,5.8716,8.0081,6.8447,1.10805,3.64165,3.9558,5.35076666666667,1.83735,7.60035,4.9324,5.1544,6.3707,0.8649,1.0369,1.0054,3.26633333333333,7.6831,6.1535,4.34605,1.2102,5.2153,1.11505,6.9007,3.2022,5.41055,4.8238,6.5979,2.4341,12.4348,1.5373,8.7008,0.924,2.82486666666667,0.8501,7.77985
4.1335,6.7548,2.6645,10.061325,3.6005,5.1801,5.9613,3.99476666666667,1.28605,5.32103333333333,0.9773,6.548875,2.75895,9.70806666666667,5.96133333333333,9.6885,3.1178,10.5946,2.6076,6.63825,8.9825,8.788,1.1647,6.3001,4.1579,3.361725,1.08075,10.9545,5.1591,1.5869,3.4189,4.3925,9.78483333333333,4.552,1.4656,7.519,10.5924,8.48625,1.19945,8.77455,5.1293,3.3589,8.23235,4.19985,1.2102,1.87285,5.9586,6.254,6.6134,1.3613,1.38855,2.255,8.01105,8.70195,8.861,3.981,6.8207,5.1409,11.33045,9.014875,2.35805,1.4934,4.1159,8.73065,9.7118,1.34435,3.1926,1.2741,6.622,8.7207,8.3839,6.8214,6.8789,10.1633,6.06335,1.2282,3.3216,6.43245,4.3575,9.208,2.8853,4.09365,1.10495,7.7862,4.3234,1.1381,12.2716,7.15985,2.71175,6.4043,8.2051,7.4557,5.07015,4.71685,7.1357,8.39985,1.22765,1.27315,5.253825,6.2384,5.18925,7.8342,1.18456666666667,5.5317,5.19203333333333,4.7021,6.07403333333333,1.59255,3.76855,7.8329,3.978,6.01115,8.42685,9.672,5.458,8.6755,3.7366,3.27443333333333,7.34025,7.7649,5.0937,4.902125,4.7518,7.146,5.77225,6.82635,4.3206,2.639,7.6099,6.053825,2.3188,7.3826,1.32265,2.2013,10.2813666666667,5.3536,1.8017,4.74535,7.1062,1.3971,6.83976666666667,7.659475,2.779,2.85195,2.1821,1.93325,5.6083,5.0798,0.9687,1.2703,8.12323333333333,6.7974,6.79365,7.92536666666667,2.6878,9.3148,2.42233333333333,1.5178,8.51955,1.086,10.6415,1.3024,3.265,6.2769,5.3753,8.17946666666667,7.27925,1.6545,3.21075,3.0526,5.1043,1.4793,7.4438,5.13204,4.8745,6.22925,1.3393,1.2376,1.3737,3.7536,7.428,5.91856666666667,4.7548,0.9146,6.0201,1.3734,6.6587,2.9422,5.56925,4.0479,6.56985,1.8767,12.3014,1.2667,8.50213333333333,1.3833,3.53823333333333,1.1377,7.76445
4.0545,6.871,2.35505,9.902225,3.46075,5.6782,6.12821666666667,4.4721,1.34695,4.86916666666667,1.63115,6.57005,3.42545,9.78926666666667,6.1271,9.69915,2.67263333333333,10.82155,2.40145,6.19835,9.1437,8.88925,1.1987,6.64555,4.6663,3.49305,1.1504,11.5104,4.9304,0.9266,2.7605,3.95655,10.0384,4.1646,2.1651,7.7667,10.4842,8.6039,1.25945,9.19195,5.9074,2.7048,8.40175,4.148,1.2535,2.5943,6.01035,6.4581,6.83355,1.2972,1.34465,2.45535,8.3266,8.75345,8.8351,4.4439,7.10685,5.1536,11.51655,8.9098,2.8903,1.469,4.2147,8.64665,9.7262,1.38925,4.1476,1.38985,7.52135,8.5613,8.3995,7.2625,7.1002,10.583,6.15865,2.3298,3.9157,6.255875,3.17545,9.27805,3.3585,3.5662,1.13695,8.8224,4.4615,1.1123,12.4033,7.21605,2.81065,6.46815,8.3914,7.6697,4.59485,6.02065,7.2591,8.47545,1.24,1.21625,7.42455,7.3776,4.384,7.69645,1.15806666666667,6.09335,5.21233333333333,5.1409,6.0065,1.2286,4.61925,7.7355,5.0122,6.3302,8.3419,9.6925,5.38423333333333,8.885,4.33815,3.75353333333333,7.47,7.8512,5.1742,4.74355,4.6908,7.6875,6.0805,7.0759,4.85615,1.665,7.45765,6.315575,3.12785,7.58405,1.8892,1.70155,10.4525666666667,5.1877,2.285,4.8005,7.5695,1.3725,6.767,7.625625,2.4658,3.02515,1.7894,1.3527,5.8464,4.8242,1.0335,1.149,8.4104,6.82716666666667,7.67935,7.72883333333333,2.83555,8.930975,2.9308,2.0509,8.4494,1.1267,10.8219,1.229,3.8829,6.0919,5.5411,8.10316666666667,7.2075,1.12135,3.1343,1.8336,5.3081,1.1771,7.68595,5.12488,4.7559,6.45805,1.1562,1.2919,1.2739,4.2913,7.4044,6.30236666666667,4.2074,1.0114,5.89025,1.38875,7.0015,3.07475,6.03875,4.5213,6.42175,2.0854,12.4626,1.9024,8.47793333333333,1.2903,2.93073333333333,1.1932,7.44615
4.1509,6.81563333333333,2.50955,9.8134,3.6136,5.4301,6.24385,4.67386666666667,1.2917,4.97683333333333,1.5824,6.39035,3.2147,10.0297,5.8683,9.97525,2.6093,10.74235,2.47595,6.492,9.0648,8.871,1.1584,6.43925,4.5796,3.396725,1.1639,11.8844,5.1468,0.99,3.0956,3.7251,9.7612,4.3183,2.113,8.1204,10.7449,8.6984,1.24045,8.9987,5.5985,3.03765,8.24885,4.2102,1.2297,2.8298,5.99845,6.32205,7.09985,1.3576,1.2868,2.0673,8.16095,8.83985,8.7965,3.627,7.15655,4.7988,11.7383,8.7336,2.63115,1.3736,3.9826,8.49995,9.9723,1.94545,3.1049,1.21085,7.91845,8.5923,8.43615,7.1674,7.3008,10.9415,6.457025,2.0987,5.5418,6.274425,3.7467,9.3214,3.4651,3.80595,1.1012,9.5769,4.2325,1.1732,12.6477,7.00925,2.1099,6.41155,8.3579,7.833,5.68985,5.9874,7.0602,8.12015,1.8478,1.2965,5.67775,8.2109,4.66475,7.6784,1.41903333333333,5.89475,5.65296666666667,4.5155,5.74393333333333,1.03215,4.2594,7.4652,5.8012,6.2163,8.3315,10.4036,5.89193333333333,8.8162,3.99415,3.27266666666667,7.0655,7.7487,5.1895,4.4335,4.59705,6.9595,6.13515,7.0431,4.22055,2.5767,7.25215,6.2485,3.18175,7.7056,1.29465,1.9323,10.4331333333333,4.8133,1.1736,4.5441,7.54445,1.3706,7.19406666666667,7.55015,3.2091,3.08125,2.0667,2.1643,5.9973,4.9997,1.0746,1.188,8.15813333333333,6.6652,7.8605,7.7743,2.7027,9.287875,2.81026666666667,3.1108,8.3438,1.185,10.6416,1.4079,2.9619,6.1265,5.5105,7.73476666666667,7.15685,1.52705,3.41465,2.6818,5.26093333333333,1.23785,7.3036,5.00218,5.1575,6.5062,1.3108,1.2597,1.4229,3.91273333333333,7.1934,6.0793,4.1411,1.91,5.88305,1.3892,6.6664,3.33785,6.50245,4.55,6.7595,2.35155,12.5977,1.5995,8.48546666666667,1.2977,3.2455,1.2915,8.016
3.8752,7.19426666666667,2.33215,10.1052,4.24535,6.0395,6.24586666666667,5.17826666666667,1.03455,5.30586666666667,0.86195,6.238325,2.3437,10.0339666666667,6.16786666666667,10.20045,2.5864,10.7092,1.98945,7.07315,9.4137,8.8812,2.7809,6.7773,5.1901,3.274575,0.9389,12.3047,5.5472,1.6963,2.009,4.0393,9.95306666666667,4.0404,1.6042,8.4148,10.7294,8.88435,1.09245,9.2707,5.7711,2.7684,8.56565,4.7397,1.3262,1.4835,6.02355,6.92735,7.2875,2.8426,1.5032,1.9824,8.62605,8.84185,8.9875,3.7381,7.1313,4.9221,11.9826,9.349075,2.11735,1.1509,4.5615,8.65885,10.3123,1.1687,3.57195,1.4043,7.87435,8.76515,8.774,7.67745,7.5134,11.5049,6.69565,0.8231,6.7825,6.6271,3.55595,9.7754,3.9025,4.11635,1.78015,9.9217,4.2692,0.857,13.0489,7.3322,3.75635,6.9181,8.9348,8.2448,5.6047,6.34365,7.6334,8.6204,2.06425,0.9025,5.908025,8.82905,5.1984,7.76745,0.8551,6.4309,5.34256666666667,4.6495,6.4113,0.9284,4.86625,8.0678,6.1556,6.63655,8.88645,9.9404,6.04043333333333,8.8553,4.2427,3.2977,7.51025,8.11725,5.39935,5.12475,5.05385,7.3538,6.381,7.4062,4.04095,1.0329,7.4871,6.444875,3.64015,7.90425,1.8226,1.734,10.6581333333333,4.98805,1.9002,5.1174,7.92675,0.9822,7.1054,8.0804,3.3741,2.9328,1.7262,2.0104,6.1848,5.49935,0.891,1.715,8.46726666666667,7.17743333333333,7.8998,8.0135,2.66595,9.59765,3.00966666666667,2.5342,8.60065,0.9382,11.1874,1.3497,3.2654,6.818,5.7361,8.29233333333333,7.2478,0.86905,3.04365,2.886,5.7994,0.9954,7.61325,5.19038,4.7082,6.56515,0.8404,0.976,0.9601,3.6934,7.5448,6.0712,3.9226,0.8656,5.4014,1.05815,7.5052,2.8372,6.31605,4.3614,6.91635,1.6143,12.7984,1.1854,8.72376666666667,0.9304,3.3136,0.8575,8.3576
4.13895,6.66913333333333,2.29945,9.47195,4.46865,4.8109,5.66776666666667,4.43046666666667,0.91705,5.20313333333333,0.8392,6.05005,3.63945,9.5638,5.751,9.45765,2.90956666666667,10.52005,3.3464,6.2142,8.68955,8.32755,1.7342,6.29395,4.57655,3.0921,0.8293,11.817,4.74725,1.9827,3.0563,4.14675,9.7538,4.3149,1.9321,7.84363333333333,10.4464,8.4241,1.58825,8.6945,5.50975,2.9811,8.17595,4.25195,0.8712,0.93105,5.8736,6.08805,6.44655,3.1267,1.1081,2.2366,7.85835,8.42845,8.4026,3.8014,7.1062,4.9841,10.9904,8.49385,2.39565,1.0206,4.2183,8.4642,9.5709,1.0194,3.66505,2.0347,7.13915,8.06825,8.15065,7.02265,7.6475,10.3279,6.2377,2.5798,5.8758,6.098225,3.4971,8.6805,3.24125,4.0849,1.805,9.2311,4.3835,2.9377,12.2575,6.91155,3.03635,5.8175,8.484,7.7077,5.3901,4.9738,7.1858,7.9529,2.08805,1.14625,5.36625,7.75945,4.81105,7.4462,0.978333333333333,5.23135,4.911,4.916,5.7529,1.52905,4.52895,7.8328,6.0534,5.7473,7.8912,10.0912,5.5747,8.5608,4.12035,3.88646666666667,7.11755,7.41645,5.391,4.96785,4.90545,6.9905,5.9515,6.921,4.7606,2.4245,7.2805,5.704175,3.26425,7.33015,1.5119,2.1748,10.0593,5.48605,1.9299,4.80235,7.2715,1.9348,6.31043333333333,7.469075,3.5265,3.31215,2.80075,2.1648,5.7289,5.2308,0.8293,0.9294,8.12903333333333,6.7699,6.7007,7.57843333333333,2.7518,8.87605,3.06143333333333,3.258,8.04735,0.857,10.0543,1.6116,2.8904,5.421,5.9056,7.70256666666667,6.94565,1.13745,5.0124,3.7952,5.163,1.2887,7.56715,4.88734,5.3597,6.0175,1.3206,0.8691,1.1292,3.9094,7.5567,5.7135,4.29045,1.5469,5.2935,1.1078,6.5342,3.33525,5.72445,4.8831,6.27625,3.24515,12.1811,0.891,8.3169,2.0708,3.1502,0.9463,7.5411
4.21615,7.0211,1.95425,10.1363,4.466,5.4148,5.93866666666667,4.2596,2.0014,4.88336666666667,0.83175,6.6893,2.4503,9.63996666666667,6.0965,9.9996,3.11273333333333,10.9036,2.2702,6.65885,9.1758,8.86495,0.857,6.2158,5.25355,3.2351,1.08695,11.5677,5.1633,1.5373,3.3506,5.0119,9.7733,4.0863,1.849,8.55176666666667,10.663,8.91335,1.0989,8.9001,5.36285,2.57635,8.22955,5.241,0.8814,1.1086,6.21805,6.56335,6.6901,2.3621,1.0409,2.41155,8.4018,8.6718,8.9148,4.6893,7.24055,5.1044,11.66875,9.5301,2.44895,1.0594,4.3872,8.64615,10.1433,1.044,2.6351,1.10375,6.78715,8.8702,8.63025,6.8956,7.8918,11.2899,6.7709,0.857,7.9107,6.2088,3.9878,9.43935,2.71375,3.7693,1.44115,10.0391,4.45815,2.9095,13.2587,6.8903,3.1457,6.495,9.4638,8.4933,4.82055,4.98715,7.3321,8.4182,1.7766,1.01065,5.92275,8.8244,5.2128,7.85145,0.914933333333333,5.96835,4.66796666666667,4.8087,6.62563333333333,1.77015,4.9957,7.475,6.616,6.3773,8.6826,9.8166,5.77026666666667,8.4827,3.98805,4.05936666666667,7.30275,7.82995,4.5325,4.615225,5.06065,7.3367,6.3889,7.15655,5.0317,2.3038,7.16655,6.3051,3.57805,7.67765,1.5092,1.7087,10.4851333333333,5.09445,2.1078,4.78435,7.892,1.794,6.18036666666667,8.329825,4.1922,3.0399,2.5385,2.81665,5.5324,5.2164,0.857,0.8509,7.93923333333333,7.02336666666667,6.8401,8.12943333333333,2.6912,9.24225,3.1949,3.01,8.67555,0.857,10.5894,0.8991,3.4506,6.9201,5.9216,8.4305,7.21885,0.86715,4.0578,4.0785,5.0831,1.9398,7.413,5.08106,5.7794,6.2278,0.9211,0.9198,1.0743,3.53243333333333,8.2222,5.79373333333333,4.4385,0.8231,5.963,1.0347,6.6398,3.17465,4.53645,4.7316,6.76965,1.19135,11.8017,1.2677,8.94203333333333,2.0447,3.80883333333333,0.8404,7.3731
